Country Name,Country Code,Series Name,Series Code,Scale (Precision),1990 [YR1990],2000 [YR2000],2010 [YR2010],2020 [YR2020]
China,CHN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Unit (0),511,993,2944,
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,Billions (0.00),360.86,1211.35,6087.16,14722.73
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Unit (0.0),3.9,8.5,10.6,2.3
China,CHN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,Unit (0.0),5.7,2.1,6.9,0.6
China,CHN,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,Unit (0),27,15,9,8
China,CHN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Unit (0),41,46,46,38
China,CHN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Unit (0),14,21,27,18
China,CHN,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Unit (0),11,19,24,16
China,CHN,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Unit (0),34,34,47,44
China,CHN,"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS,Unit (0.0),,,11.2,16.5
China,CHN,Net lending (+) / net borrowing (-) (% of GDP),GC.NLD.TOTL.GD.ZS,Unit (0.0),,,,
China,CHN,Time required to start a business (days),IC.REG.DURS,Unit (0),,,,
China,CHN,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,Unit (0.0),,,,
China,CHN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Unit (0.0),,,10.2,9.1
China,CHN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,Unit (0.0),2.5,1.8,1.7,1.7
China,CHN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Unit (0.0),0.0,6.6,62.8,117.9
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,Unit (0.0),0.0,1.8,34.3,70.6
China,CHN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,Unit (0),,,32,31
China,CHN,Statistical Capacity Score (Overall Average) (scale 0 - 100),IQ.SCI.OVRL,Unit (0),,,66,80
China,CHN,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,Unit (0),32,39,49,32
China,CHN,Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,Unit (0),102,100,82,92
China,CHN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,Millions (0),55301,145937,742756,2349389
China,CHN,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,Unit (0.0),11.7,13.1,2.9,9.2
China,CHN,Net migration,SM.POP.NETM,Thousands (0),,,,
China,CHN,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,Millions (0),196,758,13636,18902
China,CHN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Millions (0),3487,42095,243703,212476
China,CHN,Net official development assistance received (current US$),DT.ODA.ODAT.CD,Millions (0.0),2030.6,1749.0,671.9,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: WDI Central,,,,,,,,
Last Updated: 02/15/2022,,,,,,,,
